"spinglass (0.5,0.5)","spinglass (0.5,1)","spinglass (1,0.5)","spinglass (1,1)",sponge (k = 1),sponge (k = 2),sponge (k = 3),sponge (k = 4),sponge (k = 5),sponge (k = 6),sponge (k = 7),sponge (k = 8),sponge (k = 9),sponge (k = 10),username_vote
0,0,0,0,0,0,0,2,4,4,5,0,8,0,03635637942fa13e11f925aa4a7927d589831144
0,0,1,1,0,0,0,2,4,4,5,0,8,0,0363fbc84b03f8f0c36b026387b9664fb6702e8d
0,0,0,0,0,0,0,0,0,0,0,3,1,1,03673e851918b410d2779b854fb706b6a45cdab7
0,0,2,2,0,0,0,2,4,4,5,0,8,0,036bfe241fa9d190fb1bbb4a88f07b7266420f48
0,0,0,0,0,0,0,2,4,4,5,0,8,0,03810eea8644295c76493bd923051834311751fa
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0382a371e5a63682c7190562073afa41fc2f12ed
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0385d719709efe417262cd9ee244cf9871b581d4
0,0,0,0,0,0,0,2,4,4,0,3,1,1,03874b10700b5f0f12631d338cde2de7a02a6ad3
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0388ed6e8a3a88832d522a8d13fbbac9b5fcfd8c
0,0,1,1,0,0,0,2,0,0,0,3,1,1,038c3e5e206f35215e7b7607e66e196744a280cb
0,0,0,0,0,0,0,2,0,0,0,3,1,1,03933b8c10ebe7d7c0532b854919dd80ef659a39
1,1,1,1,0,0,0,0,0,0,6,7,7,9,039587a05581cd07d79d0d24931302ab6d24ab0e
0,0,2,2,0,0,0,2,4,4,5,0,8,0,039a65f3153d49245bf5170205416eea3d47c0cf
0,0,0,1,0,0,0,0,0,0,0,3,1,1,039aa6759fe1afa62c4a19059952818ff1fdeeca
1,1,1,1,0,0,0,0,0,0,0,3,1,1,039cec095df0c2c3a5c8a2d2414f5637b1908946
0,0,0,0,0,0,0,0,0,0,0,3,1,1,039f52fcf82ff16e7d508b2de8e48dead62d9f32
0,0,2,2,0,0,0,2,4,4,5,0,8,0,03a076416879a3956be9a3545701b44e4dcfe237
